dataset,location,weighting,T,year,C_old,C_recent,C_all,C_gate2,C_median,C_minimax,stack2_w_gate,stack3_n_arms,selector_disagreement
developed_vwcap,developed,vw_cap,120,2016,8.0,32.0,16.0,8.0,16.0,8.0,0.043111660798295745,3,2.0
developed_vwcap,developed,vw_cap,120,2017,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
developed_vwcap,developed,vw_cap,120,2018,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
developed_vwcap,developed,vw_cap,120,2019,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
developed_vwcap,developed,vw_cap,120,2020,32.0,16.0,16.0,16.0,16.0,16.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,120,2021,32.0,8.0,16.0,16.0,16.0,8.0,1.0,3,2.0
developed_vwcap,developed,vw_cap,120,2022,16.0,8.0,16.0,16.0,16.0,8.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,120,2023,16.0,8.0,16.0,16.0,16.0,8.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,120,2024,16.0,8.0,16.0,16.0,16.0,8.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,120,2025,16.0,8.0,8.0,8.0,8.0,8.0,1.0,2,1.0
developed_vwcap,developed,vw_cap,240,2022,16.0,32.0,32.0,16.0,32.0,32.0,0.31257575844821284,2,1.0
developed_vwcap,developed,vw_cap,240,2023,32.0,32.0,32.0,32.0,32.0,32.0,1.0,1,0.0
developed_vwcap,developed,vw_cap,240,2024,32.0,8.0,16.0,16.0,16.0,8.0,1.0,3,2.0
developed_vwcap,developed,vw_cap,240,2025,32.0,8.0,16.0,16.0,16.0,8.0,1.0,3,2.0
emerging_vwcap,emerging,vw_cap,60,2018,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
emerging_vwcap,emerging,vw_cap,60,2019,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
emerging_vwcap,emerging,vw_cap,60,2020,16.0,8.0,16.0,16.0,16.0,8.0,1.0,2,1.0
emerging_vwcap,emerging,vw_cap,60,2021,8.0,16.0,16.0,8.0,16.0,8.0,0.38493695615678275,2,1.0
