model,n_characteristics,n_state,window,selected_budget,validation_sharpe,n_months,sharpe,mean,volatility,ce_gamma5,max_drawdown,mean_complexity,mean_lambda,native_loss,monthly_sleeve_reallocation,mean_sleeve_gross
drop_sleeves_trading_frictions,126,14,120,32.0,0.7468255454166449,252,0.696042798080483,0.04936455342055696,0.07092172141812603,0.036789826998281275,-0.13761355146617937,32.0,0.0008179735885591353,0.9380985664917249,0.6546796063300637,2.8544584860845283
drop_sleeves_value,135,14,120,1.0,0.6098140373064125,252,0.5032503816952117,0.05067148244852771,0.10068841334573762,0.025326090993322427,-0.18153840590245163,1.0,0.11911506332623469,0.9953611825769676,0.5262554394394642,2.4596004305811636
drop_state_intangibles,153,12,120,2.0,0.8389088539452743,252,0.48164773259595656,0.04868254082979272,0.1010749922301231,0.023142155693994106,-0.1859703932667005,2.0,0.06713918597421079,0.9905339975262479,0.5184432523697399,2.5365515327156154
drop_state_investment,153,12,120,0.5,0.6911741239950153,252,0.4845780688177978,0.04933230874463357,0.10180466661437498,0.023421833383473478,-0.18229698746512313,0.5,0.30048053785973466,0.9976498468436193,0.5428597253554988,2.478810001415654
drop_state_momentum,153,12,120,48.0,0.6755332824000716,252,0.7067966104535324,0.04098872927141269,0.05799225500687012,0.032580975169458064,-0.14173507457363654,48.0,0.0004214992575783002,0.9470008208985394,0.667278915535873,2.9110445752123764
drop_state_new,153,12,120,48.0,0.7036708015191387,252,0.7426191201427604,0.03846178896587405,0.051792080115685944,0.03175574005909997,-0.13694680075411603,48.0,0.00040476269032931435,0.9437966290518736,0.6150844473793343,2.9128771789521495
drop_state_profitability,153,12,120,48.0,0.6686998332184354,252,0.7492411569942721,0.04179696440994978,0.05578572936065939,0.03401684540919794,-0.13904263198129774,48.0,0.0004235393170479762,0.9411053178862607,0.6672119543411891,2.9012951226592576
drop_state_trading_frictions,153,12,120,48.0,0.707841990219371,252,0.6997918024041957,0.03784592189171503,0.05408168795589212,0.030533849461318815,-0.15291397768678583,48.0,0.00041302498689038957,0.9580930177873181,0.6499284342235555,2.918259024208697
drop_state_value,153,12,120,1.0,0.7036490303961785,252,0.46162082442417113,0.04746994335239438,0.10283319304671469,0.02103327937193715,-0.18479353590680503,1.0,0.14496430077941244,0.9954846988759193,0.5434626898770085,2.5173987678617586
drop_state_all_mean_predictors,153,7,120,2.0,0.9423219478231948,252,0.5991183413266723,0.055772223660901586,0.09309049617376261,0.03410762246620831,-0.19897649564941733,2.0,0.0640795358594391,0.988916634719288,0.44589553609561855,2.579080521056721
drop_state_all_vol_predictors,153,7,120,64.0,0.7105785250544214,252,0.7950267974301215,0.028113263491006756,0.035361403643098914,0.024987191321981333,-0.10685730464182097,64.0,0.00014071255282208315,1.0068838353668632,0.5600583510290708,2.991146429987535
compact_top8,8,8,120,4.0,1.583242721325889,252,0.49516218536793516,0.046935918307283345,0.09478897963988737,0.024473541654355887,-0.1971041457060021,4.0,0.0017073590038662386,0.9848236638739528,0.4424971517171958,2.1881654411839864
compact_top16,16,10,120,24.0,1.418959047249093,252,0.7122625470270338,0.061545964653228036,0.08640909859730707,0.0428796338522302,-0.1884302422235712,24.0,0.0002687005061564749,0.9563483058585317,0.5432772884944201,2.4323720293879334
compact_top32,32,14,120,32.0,1.390987774077875,252,0.6367613974364392,0.05124678463862166,0.08048035707713744,0.035054064950462795,-0.1665370681139785,32.0,0.00028406308923254755,0.9700507613609777,0.6250145460233818,2.616510512361011
compact_top64,64,14,120,32.0,1.2036932122324684,252,0.7397415177903509,0.05382348100064063,0.07275984882045605,0.04058849199970158,-0.14678781454004375,32.0,0.00044572025139709984,0.9489401006348863,0.6270360650071704,2.779342185601487
standalone_top16,16,10,120,4.0,1.7226233960819233,252,0.7270504072770627,0.055829035427737136,0.07678839715780798,0.041087890582574005,-0.09865336740851594,4.0,0.0012871298635737656,0.9813186505262261,0.5273031348423468,2.834224322540148
published_by2004,57,14,120,32.0,0.7681262399216475,252,0.568274393910577,0.04374450522635491,0.07697778695486761,0.02893055601518245,-0.1743588065768784,32.0,0.0004769696825950078,0.969947805067359,0.7074971990705118,2.769324150009807
finance_prior,11,10,120,4.0,1.0539868708779738,252,0.39323144091369017,0.03914712560677637,0.09955237942270417,0.014370434984971238,-0.19651240066231013,4.0,0.0030984239829571487,0.9881824680465038,0.41380630709557686,1.9341973869643045
drop_feature_ret_12_7,152,14,120,48.0,0.6458267592218606,252,0.7067294826543138,0.041786765804223504,0.059126959932790685,0.03304677232698892,-0.15143290397281106,48.0,0.00043253744895079975,0.9426594385840404,0.6943488426253631,2.8963240360143963
drop_feature_resff3_12_1,152,14,120,48.0,0.6533739357212819,252,0.7048118506537417,0.04225427499887263,0.05995114151341249,0.0332689265769696,-0.15365965909884527,48.0,0.0004350867826088005,0.9447175976640895,0.6974734411478892,2.895431692493912
drop_feature_ival_me,152,14,120,48.0,0.6565348787834805,252,0.6963610163103309,0.04177311636988595,0.05998772962797489,0.03277679710508841,-0.15467384472084222,48.0,0.00043564644148080757,0.9456371494158449,0.6984693637856961,2.891680431573105
drop_feature_eq_dur,152,14,120,48.0,0.6585780339847216,252,0.7037393335879267,0.04210197585333911,0.05982609446979105,0.0331540719045682,-0.15246012370539952,48.0,0.0004352411903509065,0.9449240533107721,0.6977759997164537,2.8947530706349234
drop_feature_fcf_me,152,14,120,48.0,0.6592677374269656,252,0.6990524325718345,0.04177161615290044,0.05975462527069883,0.03284507804979634,-0.15411146226615313,48.0,0.0004353355847135031,0.9458808519618149,0.697521754155719,2.892633107587221
drop_feature_ebitda_mev,152,14,120,48.0,0.6595317733589987,252,0.6936546764821804,0.041435567251930434,0.059735151591665064,0.03251484641273242,-0.15092416152512944,48.0,0.00043447613236669025,0.9467470089756836,0.6991170157634276,2.900729421029601
drop_feature_rd_me,152,14,120,48.0,0.6596048226517215,252,0.6906572293002952,0.04127920871613082,0.05976801076555844,0.032348670938951045,-0.14776623893349872,48.0,0.00043219101784715134,0.9472601138335379,0.6964379484181191,2.8973448718257537
drop_feature_seas_2_5an,152,14,120,48.0,0.660805633727324,252,0.6959345050830821,0.04173463669517483,0.059969201685426514,0.032743873818206426,-0.15535626266912173,48.0,0.00043391150474699343,0.9454574232818871,0.6987714773076107,2.8938939493691564
drop_feature_seas_6_10an,152,14,120,48.0,0.6618588077051918,252,0.6941764161165024,0.041825387580469366,0.06025181295333704,0.03274968517005958,-0.1570680336582695,48.0,0.0004339432242488704,0.9483849384598293,0.6998020154421891,2.8933373407237286
drop_feature_prc,152,14,120,48.0,0.6622286421176355,252,0.6970372468476705,0.04158802197527503,0.059663988062841074,0.032688543296367924,-0.15217848320068905,48.0,0.0004339706695813446,0.9452908709074719,0.6971048470398802,2.8977338523447593
matern_T60,153,14,60,32.0,0.6948154722131055,252,0.6460460493394575,0.0415500864550429,0.06431443470248802,0.031209220177291414,-0.1608379195497931,32.0,0.0003910020216098368,0.9658380056918637,0.8737136526522412,2.9667779430246504
matern_T240,153,14,240,64.0,0.6445703852303732,252,0.9529661821860115,0.0532766043821806,0.055906080801282225,0.045462879705781854,-0.10553048310733903,64.0,0.0004925148463324171,0.9106614815489097,0.47981401428863274,2.989364218891115
matern_rff16,153,14,120,8.0,0.7537904888762896,252,0.4637006535081969,0.037307424674985656,0.08045583803415142,0.02112456999054164,-0.14751406687045976,8.0,0.010268300661764675,0.9827131964611137,0.7164246979568739,2.5959001937901616
matern_rff64,153,14,120,24.0,0.4786658909692252,252,0.5519368465701915,0.044231388379853485,0.08013849529110655,0.028175942311046722,-0.20540073632829836,24.0,0.0018437780611810092,0.9669303331908529,0.7708701994373034,2.6962619495050646
matern_rff256,153,14,120,64.0,1.1014239936177856,252,0.6436763440050589,0.03346249404335262,0.05198652141718233,0.02670599802070473,-0.16000730802839702,64.0,0.00017113868813631967,1.0006759740691435,0.700847095035548,2.929454314139588
matern_rff1024,153,14,120,118.0,0.8133005798489107,252,0.540364379220344,0.02159420054022428,0.0399622946489943,0.017601738056191682,-0.12448112380586718,118.0,1.7569254033065292e-06,1.2345453861985505,0.7024301784427807,2.9759050694227347
matern_vw,153,14,120,64.0,0.8136715062772196,252,0.6720404714722091,0.04316462024771063,0.06422919761536357,0.03285114568192707,-0.15193569352412184,64.0,0.0002576061683254319,0.9592260757261452,0.7241100963176739,2.9579895114326837
matern_ew,153,14,120,48.0,1.7651254436888921,252,1.575433018190192,0.10047129610957244,0.06377376565649913,0.09030356314454727,-0.08828433470465025,48.0,0.0004323275117800612,0.7634890344010831,0.48851265571994557,2.911808451031314
