model,budget,selected,validation_sharpe,validation_loss,test_sharpe,test_loss,mean_C,mean_lambda,mean_IS_Sharpe
drop_sleeves_investment,1.0,False,0.5798083625336014,0.984145684252599,0.5003031666487618,0.994899688949639,1.0,0.13054802151241626,1.711821944968296
drop_sleeves_investment,2.0,False,0.580460282277457,0.9699677236512211,0.5304181551738518,0.9903098664048098,2.0,0.06106336559357547,1.8026994819743156
drop_sleeves_investment,4.0,False,0.5770763885227064,0.9467029644960677,0.5795457950059435,0.9824916498947583,4.0,0.02693529446335493,1.9763648140528371
drop_sleeves_investment,8.0,False,0.5641754846800883,0.9151234049444905,0.6390658931142962,0.9714060436902302,8.0,0.010750302536464062,2.3110960633252997
drop_sleeves_investment,12.0,False,0.5619502956688436,0.895046951895947,0.6662658934033432,0.9644604891424583,12.0,0.005863539851518937,2.6366539917734917
drop_sleeves_investment,16.0,False,0.5660985339733314,0.8813072470316655,0.6780647389461869,0.9598157942152332,16.0,0.0036638798204555786,2.9735824925318997
drop_sleeves_investment,24.0,False,0.6114233090167251,0.8638921921428041,0.6547681756526013,0.9538566512307581,24.0,0.0017626489554700116,3.6447006893642664
drop_sleeves_investment,32.0,False,0.6462615667099395,0.8530410570960787,0.628449556051849,0.9507467659679014,32.0,0.0009866011335448726,4.318903252416778
drop_sleeves_investment,48.0,True,0.6729190190107256,0.8390593885493183,0.661693567590408,0.9547212714373826,48.0,0.00038328333746516697,5.9791953452632765
drop_sleeves_investment,64.0,False,0.6661154736850029,0.8324973602487178,0.6769824314261926,0.9751109680171794,64.0,0.00016817199625169678,8.327151192599551
drop_sleeves_investment,96.0,False,0.6106043480556766,0.8564216194148625,0.6702392457799127,1.0730457034388365,96.0,2.9478230389681892e-05,19.896503428460353
drop_sleeves_investment,118.0,False,0.5627731569500711,0.9128544479305819,0.6244577100158863,1.2302447224290587,118.0,1.463179808724925e-06,215.69125842682774
drop_sleeves_momentum,0.5,False,0.637118862945436,0.9911010783391769,0.480042442428956,0.997418320338826,0.5,0.2815854355987849,1.7380545610137592
drop_sleeves_momentum,1.0,False,0.640201434725461,0.9824918418239695,0.49880435357092184,0.9949632739371307,1.0,0.13612273432045366,1.785238927755041
drop_sleeves_momentum,2.0,False,0.6403616152857236,0.9663651002908515,0.5325928749194567,0.9904019434316236,2.0,0.0637407289653476,1.8720590303681075
drop_sleeves_momentum,4.0,False,0.630885221691074,0.9390118866904852,0.5875937589790103,0.9825449167534995,4.0,0.028151081706886384,2.0363773750820684
drop_sleeves_momentum,8.0,False,0.6173759923351273,0.9006626179195485,0.6555721256748956,0.9710272817085841,8.0,0.011246283830121677,2.3779836255503835
drop_sleeves_momentum,12.0,False,0.6111204382484007,0.8764566308277852,0.6933271452094046,0.9633295435680107,12.0,0.006138475865858831,2.7360425176623515
drop_sleeves_momentum,16.0,False,0.6061785356368998,0.8606523228726064,0.6993046676368145,0.9577229292937618,16.0,0.0038393771681911955,3.064209178140338
drop_sleeves_momentum,24.0,False,0.6127853356118693,0.8426101067647077,0.6727814813813708,0.949343611206008,24.0,0.001851770300062162,3.7248412059207023
drop_sleeves_momentum,32.0,False,0.6293984336652279,0.8332427947222292,0.6623086738148566,0.9432418347548388,32.0,0.0010395921107555584,4.3663665369410705
drop_sleeves_momentum,48.0,True,0.6529692014198433,0.8237497400448324,0.708737188607209,0.9401934947834554,48.0,0.00040667310243115815,6.02285516816804
drop_sleeves_momentum,64.0,False,0.6451587566923035,0.8213787670546786,0.72666942045926,0.9535459889110875,64.0,0.00017989670039528127,8.424175070857828
drop_sleeves_momentum,96.0,False,0.5901862206817918,0.8540192370358161,0.7149961997315746,1.036524774383909,96.0,3.217463232533291e-05,20.360749528480895
drop_sleeves_momentum,118.0,False,0.5400369355424279,0.9243220176804707,0.6529650203682645,1.166348035206868,118.0,1.6276500894735564e-06,227.4018668218324
drop_sleeves_new,0.5,False,0.6308438227222671,0.9914368191663662,0.4659802162230913,0.9975110696643905,0.5,0.26994903510308615,1.7313641574562488
drop_sleeves_new,1.0,False,0.6363100290542497,0.9831550386649133,0.48460881222195357,0.995126828615896,1.0,0.13047841643190672,1.7768745898528107
drop_sleeves_new,2.0,False,0.6386994947230243,0.9676410200816363,0.5185308386059075,0.9906617596888015,2.0,0.06108143544747509,1.8623352163275517
drop_sleeves_new,4.0,False,0.6296822526689051,0.9413274353485631,0.5671319174117234,0.9829020313359565,4.0,0.026963961374486485,2.0325899619749768
drop_sleeves_new,8.0,False,0.6218929197614781,0.9045701020067826,0.6293857730657952,0.9714887997141797,8.0,0.010762008586083328,2.382768395782799
drop_sleeves_new,12.0,False,0.6158238959864116,0.8817035477192318,0.6636033951225615,0.9639360347554627,12.0,0.0058679064536765494,2.748952264689145
drop_sleeves_new,16.0,False,0.6129920863859714,0.8671509049451752,0.6727510816536233,0.9585371254189509,16.0,0.003666153234506768,3.0829544242507465
drop_sleeves_new,24.0,False,0.6366118804277832,0.8514031095273557,0.658878272923586,0.9506648040204215,24.0,0.00176510608608198,3.7370123628714453
drop_sleeves_new,32.0,False,0.661260778073544,0.8439776692677002,0.6526352994974121,0.9450065106652923,32.0,0.000989891006782398,4.383315722155001
drop_sleeves_new,48.0,True,0.6756119605314825,0.8370003441823625,0.7021079843744793,0.9419040858333708,48.0,0.00038683574926101844,6.036889729621375
drop_sleeves_new,64.0,False,0.6617307892141043,0.8352671412808941,0.7231553653781713,0.9531440751152167,64.0,0.00017096777613874394,8.50163157078893
drop_sleeves_new,96.0,False,0.6080224658957956,0.8652349164171835,0.7178689078041083,1.025320091718186,96.0,3.04841587707657e-05,20.632434997375277
drop_sleeves_new,118.0,False,0.5618068853518913,0.9328259498806711,0.6537726009771851,1.1433602935552245,118.0,1.5371842131302702e-06,232.82347591094117
drop_sleeves_profitability,0.5,False,0.6209312076556163,0.9905333362418723,0.41257797656859585,0.997962379253388,0.5,0.2726782519523634,1.6757838340187252
drop_sleeves_profitability,1.0,False,0.6286717678947706,0.9814584049822306,0.43220700875936435,0.9960038332409733,1.0,0.13171780378512252,1.7256339818346413
drop_sleeves_profitability,2.0,False,0.6363233517541184,0.9645635799921178,0.46523314471348926,0.9923046239405166,2.0,0.06159893232106684,1.8189252409693046
drop_sleeves_profitability,4.0,False,0.6330440737825043,0.9359270304321807,0.520356520710475,0.9857528927853388,4.0,0.027153016528295968,1.997127590396326
drop_sleeves_profitability,8.0,False,0.6272678799809308,0.8956008575604761,0.5863327624532509,0.97581599972921,8.0,0.010819423019848395,2.371806924163733
drop_sleeves_profitability,12.0,False,0.6260633789059179,0.8703855560278984,0.6183137359923092,0.9690604412699058,12.0,0.00589306703519696,2.748263622344497
drop_sleeves_profitability,16.0,False,0.6306512130442518,0.8544638829555118,0.6289889673515534,0.9642397240475193,16.0,0.0036788137619925246,3.074196269329186
drop_sleeves_profitability,24.0,False,0.6633074478921888,0.8379884774056333,0.6120648944052757,0.9577059724871014,24.0,0.0017687961804281175,3.7089163434721595
drop_sleeves_profitability,32.0,False,0.6886275252002587,0.831381620606606,0.6088118137347973,0.9539526555401749,32.0,0.0009909388422922852,4.369946610468343
drop_sleeves_profitability,48.0,True,0.6994334160275344,0.8276105455926314,0.6597249387911926,0.95571283355787,48.0,0.00038675618233064725,6.026323937730185
drop_sleeves_profitability,64.0,False,0.6850644181847542,0.8297810888371566,0.6807532725515398,0.9725040323926958,64.0,0.00017081077438572866,8.350816152389884
drop_sleeves_profitability,96.0,False,0.6265536889021166,0.8704896772896755,0.6773848160754998,1.061700130063942,96.0,3.0424877420379393e-05,19.780691956416526
drop_sleeves_profitability,118.0,False,0.5760152248775541,0.9458785835835327,0.6126016184117898,1.2054307256240153,118.0,1.533181194388054e-06,216.6729633137307
drop_sleeves_trading_frictions,0.5,False,0.7054295084021087,0.9893001792841161,0.5732932128684208,0.9968198816462583,0.5,0.21307567972797484,1.6992265154434518
drop_sleeves_trading_frictions,1.0,False,0.701915272428672,0.978999494590982,0.5840099429255209,0.9939028201551527,1.0,0.10312362684478378,1.7380727489781334
drop_sleeves_trading_frictions,2.0,False,0.6938897047230602,0.95987474003058,0.5997546921615976,0.988714904380933,2.0,0.04839949798686157,1.8147022363066347
drop_sleeves_trading_frictions,4.0,False,0.678410764271188,0.9281221247605212,0.625781368575767,0.9802877970414227,4.0,0.02146882150293105,1.9904940011726828
drop_sleeves_trading_frictions,8.0,False,0.6582847453824748,0.8862582944750732,0.6636519151347513,0.9685354384858441,8.0,0.008641684647098804,2.3703198729672876
drop_sleeves_trading_frictions,12.0,False,0.666015697336317,0.862857759024957,0.6855478911997214,0.960724695566218,12.0,0.004746091095634598,2.7565497956004306
