dataset,location,weighting,T,start_year,end_year,n_years,n_months,selector,base_sr,sr,delta_sr,gainQ,meanC,sd_monthly_C,mean_cancellation,p95_cancellation,positive_year_frac
world_ex_us_market_vwcap,world_ex_us,vw_cap,120,2012,2025,14,168,allpast,1.4128254025016602,2.6891091284023276,1.2762837259006674,0.2122453005498826,21.142857142857142,4.132948830961964,2.091926982344967,3.037950767551922,0.7857142857142857
world_ex_us_market_vwcap,world_ex_us,vw_cap,120,2012,2025,14,168,recent,1.4128254025016602,2.7481100800527,1.3352846775510399,0.22616162498420156,20.285714285714285,9.525976371692627,1.999232398729076,3.061080918980413,0.7857142857142857
world_ex_us_market_vwcap,world_ex_us,vw_cap,120,2012,2025,14,168,median3,1.4128254025016602,2.6891091284023276,1.2762837259006674,0.2122453005498826,21.142857142857142,4.132948830961964,2.091926982344967,3.037950767551922,0.7857142857142857
world_ex_us_market_vwcap,world_ex_us,vw_cap,120,2012,2025,14,168,minimax,1.4128254025016602,2.719945816198738,1.3071204136970778,0.22888069798594593,18.571428571428573,8.658920448657833,1.991577177924771,3.061080918980413,0.7857142857142857
world_ex_us_market_vwcap,world_ex_us,vw_cap,120,2012,2025,14,168,mean3,1.4128254025016602,2.721641876183467,1.3088164736818069,0.2241500423068567,20.571428571428573,5.221525494133431,2.0745626966050073,3.037950767551922,0.7857142857142857
world_ex_us_market_vwcap,world_ex_us,vw_cap,120,2012,2025,14,168,stack2,1.4128254025016602,2.687799019980556,1.2749736174788957,0.2123288268899606,21.07092862591822,4.161047891035549,2.0886680408819753,3.037950767551922,0.7857142857142857
world_ex_us_market_vwcap,world_ex_us,vw_cap,120,2012,2025,14,168,stack3,1.4128254025016602,2.7519724110524213,1.339147008550761,0.2296112852734837,21.192721797234952,4.804311615665114,2.1350052995818074,3.037950767551922,0.7857142857142857
world_ex_us_market_vwcap,world_ex_us,vw_cap,240,2022,2025,4,48,current,2.2140162295936565,2.861993537479501,0.6479773078858444,0.08653641370247044,36.0,0.0,3.961313527641709,4.23098175655576,0.75
world_ex_us_market_vwcap,world_ex_us,vw_cap,240,2022,2025,4,48,gate2,2.2140162295936565,2.861993537479501,0.6479773078858444,0.08653641370247044,36.0,0.0,3.961313527641709,4.23098175655576,0.75
world_ex_us_market_vwcap,world_ex_us,vw_cap,240,2022,2025,4,48,allpast,2.2140162295936565,2.861993537479501,0.6479773078858444,0.08653641370247044,36.0,0.0,3.961313527641709,4.23098175655576,0.75
world_ex_us_market_vwcap,world_ex_us,vw_cap,240,2022,2025,4,48,recent,2.2140162295936565,2.9599319351956295,0.745915705601973,0.124709469921357,30.0,10.502279387848407,3.4289179460861177,4.23098175655576,1.0
world_ex_us_market_vwcap,world_ex_us,vw_cap,240,2022,2025,4,48,median3,2.2140162295936565,2.861993537479501,0.6479773078858444,0.08653641370247044,36.0,0.0,3.961313527641709,4.23098175655576,0.75
world_ex_us_market_vwcap,world_ex_us,vw_cap,240,2022,2025,4,48,minimax,2.2140162295936565,2.9599319351956295,0.745915705601973,0.124709469921357,30.0,10.502279387848407,3.4289179460861177,4.23098175655576,1.0
world_ex_us_market_vwcap,world_ex_us,vw_cap,240,2022,2025,4,48,mean3,2.2140162295936565,2.9229607897483088,0.7089445601546522,0.10793864532576665,34.0,3.5007597959494694,3.783848333789846,4.23098175655576,0.75
world_ex_us_market_vwcap,world_ex_us,vw_cap,240,2022,2025,4,48,stack2,2.2140162295936565,2.861993537479501,0.6479773078858444,0.08653641370247044,36.0,0.0,3.961313527641709,4.23098175655576,0.75
world_ex_us_market_vwcap,world_ex_us,vw_cap,240,2022,2025,4,48,stack3,2.2140162295936565,2.9173849381916153,0.7033687085979587,0.10600193985958166,34.22080381258499,3.1142692410045183,3.803440829491659,4.23098175655576,0.75
