T,signal,C_extra,population_Q,population_SR,incremental_Q_recovery,delta_SR
960,leading,8.0,0.9314366654751587,0.9451056500364848,0.8587861924849064,0.2640408158616474
960,leading,12.0,0.9336596627889092,0.9329539319019404,0.7998077490480281,0.25188909772710305
960,leading,16.0,0.9374499667608359,0.9127837972193514,0.6992470209562417,0.23171896304451395
960,leading,20.0,0.9425959341869451,0.8870229561106736,0.5627191237377214,0.20595812193583604
960,leading,23.0,0.9476186137320206,0.8638258910972411,0.4294621829315266,0.18276105692240363
960,trailing,0.0,0.9638057699772687,0.6810648341748374,0.0,0.0
960,trailing,0.5,0.9638359153290655,0.6808000636417294,-0.0007997877077184797,-0.0002647705331080277
960,trailing,1.0,0.9639531071071399,0.6797547439864003,-0.003909008133523528,-0.0013100901884371312
960,trailing,2.0,0.9642089417553342,0.6775357854948894,-0.010696568889621023,-0.003529048679948093
960,trailing,4.0,0.9643785577544476,0.6764194146261221,-0.015196658722307334,-0.004645419548715364
960,trailing,8.0,0.9628536502723115,0.6914493122665292,0.02526073145325469,0.010384478091691674
960,trailing,12.0,0.9586981492435988,0.7292649986324478,0.1355105193669934,0.04820016445761021
960,trailing,16.0,0.9527430242778461,0.781308623801415,0.29350621229007695,0.10024378962657746
960,trailing,20.0,0.9477475280603694,0.8292411159791293,0.42604195098806225,0.14817628180429177
960,trailing,23.0,0.9479154033297698,0.8511998764832669,0.4215880445350349,0.17013504230842932
