year,window,group,tune_end,confirmation_end,selected_grid_C_extra,training_total_C,confirmation_loss_gain,simultaneous_lower_bound
2016,60,profitability,2010-12-31,2015-12-31,1.0,4.0,0.010532844293235196,-0.06632763226249717
2016,60,trading_frictions,2010-12-31,2015-12-31,2.0,5.0,-0.020897049274760673,-0.09775752583049305
2016,60,value,2010-12-31,2015-12-31,4.0,7.0,0.1256730797610122,0.04881260320527979
2016,60,all_extensions,2010-12-31,2015-12-31,4.0,7.0,0.08040333091182418,0.0035428543560918208
2017,60,intangibles,2011-12-31,2016-12-31,2.0,5.0,0.029863420062438886,-0.07754065277801317
2017,60,investment,2011-12-31,2016-12-31,4.0,7.0,0.09785192704470318,-0.009552145795748854
2017,60,momentum,2011-12-31,2016-12-31,0.0,3.0,-2.7755575615628915e-18,-0.10740407284045206
2017,60,new,2011-12-31,2016-12-31,0.0,3.0,-2.7755575615628915e-18,-0.10740407284045206
2017,60,profitability,2011-12-31,2016-12-31,2.0,5.0,-0.003658328902689308,-0.11106240174314137
2017,60,trading_frictions,2011-12-31,2016-12-31,1.0,4.0,-0.011207081493974298,-0.11861115433442636
2017,60,value,2011-12-31,2016-12-31,4.0,7.0,0.08826889827248006,-0.019135174567971952
2017,60,all_extensions,2011-12-31,2016-12-31,4.0,7.0,0.09852418720796555,-0.008879885632486512
2018,60,intangibles,2012-12-31,2017-12-31,0.5,3.5,0.015169920013471653,-0.10907654217289668
2018,60,investment,2012-12-31,2017-12-31,4.0,7.0,0.10592145998736617,-0.01832500219900217
2018,60,momentum,2012-12-31,2017-12-31,0.0,3.0,-2.7755575615628915e-18,-0.12424646218636834
2018,60,new,2012-12-31,2017-12-31,0.0,3.0,-2.7755575615628915e-18,-0.12424646218636834
2018,60,profitability,2012-12-31,2017-12-31,2.0,5.0,0.009716312961573766,-0.11453014922479457
2018,60,trading_frictions,2012-12-31,2017-12-31,1.0,4.0,-0.010870093856893923,-0.13511655604326225
2018,60,value,2012-12-31,2017-12-31,4.0,7.0,0.0469981977923141,-0.07724826439405426
2018,60,all_extensions,2012-12-31,2017-12-31,4.0,7.0,0.09629375555626968,-0.02795270663009866
2019,60,intangibles,2013-12-31,2018-12-31,2.0,5.0,0.0470660862338482,-0.08184504544644206
2019,60,investment,2013-12-31,2018-12-31,4.0,7.0,0.13089622480667693,0.0019850931263867
2019,60,momentum,2013-12-31,2018-12-31,0.0,3.0,-2.7755575615628915e-18,-0.12891113168029025
2019,60,new,2013-12-31,2018-12-31,0.0,3.0,-2.7755575615628915e-18,-0.12891113168029025
2019,60,profitability,2013-12-31,2018-12-31,2.0,5.0,-0.00449354451873224,-0.1334046761990225
2019,60,trading_frictions,2013-12-31,2018-12-31,1.0,4.0,-0.005283636862175609,-0.13419476854246587
2019,60,value,2013-12-31,2018-12-31,4.0,7.0,0.0006935167330442804,-0.12821761494724596
2019,60,all_extensions,2013-12-31,2018-12-31,8.0,11.0,0.09691694054041006,-0.03199419113988018
2020,60,intangibles,2014-12-31,2019-12-31,4.0,7.0,0.04566329557336169,-0.08501452396646639
2020,60,investment,2014-12-31,2019-12-31,2.0,5.0,0.08774053092928563,-0.04293728861054244
